english,synonym,source
noise,racket,Open English WordNet 2025 synset
noise,randomness,Open English WordNet 2025 synset
noise,resound,Open English WordNet 2025 synset
noise,stochasticity,Open English WordNet 2025 synset
noisome,fetid,Open English WordNet 2025 synset
noisome,foetid,Open English WordNet 2025 synset
noisome,foul,Open English WordNet 2025 synset
noisome,foul-smelling,Open English WordNet 2025 synset
noisome,funky,Open English WordNet 2025 synset
noisome,ill-scented,Open English WordNet 2025 synset
noisome,loathsome,Open English WordNet 2025 synset
noisome,nauseating,Open English WordNet 2025 synset
noisome,nauseous,Open English WordNet 2025 synset
noisome,offensive,Open English WordNet 2025 synset
noisome,queasy,Open English WordNet 2025 synset
noisome,sickening,Open English WordNet 2025 synset
noisome,smelly,Open English WordNet 2025 synset
noisome,stinking,Open English WordNet 2025 synset
noisome,vile,Open English WordNet 2025 synset
nom de guerre,anonym,Open English WordNet 2025 synset
nom de guerre,pseudonym,Open English WordNet 2025 synset
nomadic,mobile,Open English WordNet 2025 synset
nomadic,peregrine,Open English WordNet 2025 synset
nomadic,roving,Open English WordNet 2025 synset
nomadic,wandering,Open English WordNet 2025 synset
nomenclature,language,Open English WordNet 2025 synset
nomenclature,terminology,Open English WordNet 2025 synset
nominate,appoint,Open English WordNet 2025 synset
nominate,constitute,Open English WordNet 2025 synset
nominate,make,Open English WordNet 2025 synset
nominate,name,Open English WordNet 2025 synset
nominate,propose,Open English WordNet 2025 synset
nominate,put forward,Open English WordNet 2025 synset
nominate,put up,Open English WordNet 2025 synset
nominating address,nominating speech,Open English WordNet 2025 synset
nominating address,nomination,Open English WordNet 2025 synset
nominating speech,nominating address,Open English WordNet 2025 synset
nominating speech,nomination,Open English WordNet 2025 synset
nomination,nominating address,Open English WordNet 2025 synset
nomination,nominating speech,Open English WordNet 2025 synset
nominative,nominative case,Open English WordNet 2025 synset
nominative,subject case,Open English WordNet 2025 synset
nominative case,nominative,Open English WordNet 2025 synset
nominative case,subject case,Open English WordNet 2025 synset
nominee,campaigner,Open English WordNet 2025 synset
nominee,candidate,Open English WordNet 2025 synset
non,not,Open English WordNet 2025 synset
non-christian priest,priest,Open English WordNet 2025 synset
non-finite,infinite,Open English WordNet 2025 synset
non-finite,nonfinite,Open English WordNet 2025 synset
non-issue,dead letter,Open English WordNet 2025 synset
non-jew,gentile,Open English WordNet 2025 synset
non-jew,goy,Open English WordNet 2025 synset
non-proliferation,nonproliferation,Open English WordNet 2025 synset
nonage,minority,Open English WordNet 2025 synset
nonaged,minor,Open English WordNet 2025 synset
nonaged,underage,Open English WordNet 2025 synset
nonchalance,indifference,Open English WordNet 2025 synset
nonchalance,unconcern,Open English WordNet 2025 synset
nonchalant,casual,Open English WordNet 2025 synset
nonchalant,insouciant,Open English WordNet 2025 synset
noncitizen,alien,Open English WordNet 2025 synset
noncitizen,foreigner,Open English WordNet 2025 synset
noncitizen,outlander,Open English WordNet 2025 synset
noncombustible,incombustible,Open English WordNet 2025 synset
noncompliance,disobedience,Open English WordNet 2025 synset
nonconcentric,eccentric,Open English WordNet 2025 synset
nonconformist,recusant,Open English WordNet 2025 synset
nondescript,characterless,Open English WordNet 2025 synset
nondrinker,abstainer,Open English WordNet 2025 synset
nondrinker,abstinent,Open English WordNet 2025 synset
nonenterprising,unenterprising,Open English WordNet 2025 synset
nonentity,cipher,Open English WordNet 2025 synset
nonentity,cypher,Open English WordNet 2025 synset
nonentity,nobody,Open English WordNet 2025 synset
nonentity,nonexistence,Open English WordNet 2025 synset
nonesuch,apotheosis,Open English WordNet 2025 synset
nonesuch,ideal,Open English WordNet 2025 synset
nonesuch,nonpareil,Open English WordNet 2025 synset
nonesuch,nonsuch,Open English WordNet 2025 synset
nonesuch,paragon,Open English WordNet 2025 synset
nonesuch,saint,Open English WordNet 2025 synset
nonexistence,nonentity,Open English WordNet 2025 synset
nonextant,extinct,Open English WordNet 2025 synset
nonfinite,infinite,Open English WordNet 2025 synset
nonfinite,non-finite,Open English WordNet 2025 synset
nongregarious,nonsocial,Open English WordNet 2025 synset
nongregarious,solitary,Open English WordNet 2025 synset
nonindulgence,asceticism,Open English WordNet 2025 synset
nonindulgence,austerity,Open English WordNet 2025 synset
nonindulgent,strict,Open English WordNet 2025 synset
nonliteral,figurative,Open English WordNet 2025 synset
nonoperational,inactive,Open English WordNet 2025 synset
nonparallel,in series,Open English WordNet 2025 synset
nonparallel,serial,Open English WordNet 2025 synset
nonpareil,apotheosis,Open English WordNet 2025 synset
nonpareil,ideal,Open English WordNet 2025 synset
nonpareil,matchless,Open English WordNet 2025 synset
nonpareil,nonesuch,Open English WordNet 2025 synset
nonpareil,nonsuch,Open English WordNet 2025 synset
nonpareil,one,Open English WordNet 2025 synset
nonpareil,one and only,Open English WordNet 2025 synset
nonpareil,paragon,Open English WordNet 2025 synset
nonpareil,peerless,Open English WordNet 2025 synset
nonpareil,saint,Open English WordNet 2025 synset
nonpareil,unmatchable,Open English WordNet 2025 synset
nonpareil,unmatched,Open English WordNet 2025 synset
nonpareil,unrivaled,Open English WordNet 2025 synset
nonpareil,unrivalled,Open English WordNet 2025 synset
nonpayment,default,Open English WordNet 2025 synset
nonpayment,nonremittal,Open English WordNet 2025 synset
nonperformance,carelessness,Open English WordNet 2025 synset
nonperformance,neglect,Open English WordNet 2025 synset
nonperformance,negligence,Open English WordNet 2025 synset
nonphysical,intangible,Open English WordNet 2025 synset
nonplus,amaze,Open English WordNet 2025 synset
nonplus,baffle,Open English WordNet 2025 synset
nonplus,beat,Open English WordNet 2025 synset
nonplus,bewilder,Open English WordNet 2025 synset
nonplus,dumbfound,Open English WordNet 2025 synset
nonplus,flummox,Open English WordNet 2025 synset
nonplus,get,Open English WordNet 2025 synset
nonplus,gravel,Open English WordNet 2025 synset
nonplus,mystify,Open English WordNet 2025 synset
nonplus,perplex,Open English WordNet 2025 synset
nonplus,pose,Open English WordNet 2025 synset
nonplus,puzzle,Open English WordNet 2025 synset
nonplus,stick,Open English WordNet 2025 synset
nonplus,stupefy,Open English WordNet 2025 synset
nonplus,vex,Open English WordNet 2025 synset
nonproliferation,non-proliferation,Open English WordNet 2025 synset
nonrational,intuitive,Open English WordNet 2025 synset
nonrational,visceral,Open English WordNet 2025 synset
nonremittal,default,Open English WordNet 2025 synset
nonremittal,nonpayment,Open English WordNet 2025 synset
nonreversible,one-sided,Open English WordNet 2025 synset
nonsense,bunk,Open English WordNet 2025 synset
nonsense,falderol,Open English WordNet 2025 synset
nonsense,folderal,Open English WordNet 2025 synset
nonsense,frill,Open English WordNet 2025 synset
nonsense,gimcrack,Open English WordNet 2025 synset
nonsense,gimcrackery,Open English WordNet 2025 synset
nonsense,hokum,Open English WordNet 2025 synset
nonsense,meaninglessness,Open English WordNet 2025 synset
nonsense,nonsensical,Open English WordNet 2025 synset
nonsense,nonsensicality,Open English WordNet 2025 synset
nonsense,trumpery,Open English WordNet 2025 synset
nonsensical,absurd,Open English WordNet 2025 synset
nonsensical,cockeyed,Open English WordNet 2025 synset
nonsensical,derisory,Open English WordNet 2025 synset
nonsensical,idiotic,Open English WordNet 2025 synset
nonsensical,laughable,Open English WordNet 2025 synset
nonsensical,ludicrous,Open English WordNet 2025 synset
nonsensical,nonsense,Open English WordNet 2025 synset
nonsensical,preposterous,Open English WordNet 2025 synset
nonsensical,ridiculous,Open English WordNet 2025 synset
nonsensicality,bunk,Open English WordNet 2025 synset
nonsensicality,hokum,Open English WordNet 2025 synset
nonsensicality,meaninglessness,Open English WordNet 2025 synset
nonsensicality,nonsense,Open English WordNet 2025 synset
nonsensitive,unrestricted,Open English WordNet 2025 synset
nonsexual,asexual,Open English WordNet 2025 synset
nonsocial,nongregarious,Open English WordNet 2025 synset
nonsocial,solitary,Open English WordNet 2025 synset
nonstarter,failure,Open English WordNet 2025 synset
nonstarter,loser,Open English WordNet 2025 synset
nonstarter,unsuccessful person,Open English WordNet 2025 synset
nonstop,around-the-clock,Open English WordNet 2025 synset
nonstop,day-and-night,Open English WordNet 2025 synset
nonstop,round-the-clock,Open English WordNet 2025 synset
nonsuch,apotheosis,Open English WordNet 2025 synset
nonsuch,ideal,Open English WordNet 2025 synset
nonsuch,nonesuch,Open English WordNet 2025 synset
nonsuch,nonpareil,Open English WordNet 2025 synset
nonsuch,paragon,Open English WordNet 2025 synset
nonsuch,saint,Open English WordNet 2025 synset
nontaxable,exempt,Open English WordNet 2025 synset
nontextual matter,art,Open English WordNet 2025 synset
nontextual matter,artwork,Open English WordNet 2025 synset
nontextual matter,graphics,Open English WordNet 2025 synset
nonuple,nine-fold,Open English WordNet 2025 synset
nonuple,ninefold,Open English WordNet 2025 synset
nonviolence,nonviolent resistance,Open English WordNet 2025 synset
nonviolence,passive resistance,Open English WordNet 2025 synset
nonviolent resistance,nonviolence,Open English WordNet 2025 synset
nonviolent resistance,passive resistance,Open English WordNet 2025 synset
nonvoluntary,involuntary,Open English WordNet 2025 synset
nonvoluntary,unvoluntary,Open English WordNet 2025 synset
noodle,attic,Open English WordNet 2025 synset
noodle,bean,Open English WordNet 2025 synset
noodle,bonce,Open English WordNet 2025 synset
noodle,dome,Open English WordNet 2025 synset
noodle,noggin,Open English WordNet 2025 synset
nook,corner,Open English WordNet 2025 synset
nookie,ass,Open English WordNet 2025 synset
nookie,fuck,Open English WordNet 2025 synset
nookie,fucking,Open English WordNet 2025 synset
nookie,nooky,Open English WordNet 2025 synset
nookie,piece of ass,Open English WordNet 2025 synset
nookie,piece of tail,Open English WordNet 2025 synset
nookie,roll in the hay,Open English WordNet 2025 synset
nookie,screw,Open English WordNet 2025 synset
nookie,screwing,Open English WordNet 2025 synset
nookie,shag,Open English WordNet 2025 synset
nookie,shtup,Open English WordNet 2025 synset
nooky,ass,Open English WordNet 2025 synset
nooky,fuck,Open English WordNet 2025 synset
nooky,fucking,Open English WordNet 2025 synset
nooky,nookie,Open English WordNet 2025 synset
nooky,piece of ass,Open English WordNet 2025 synset
nooky,piece of tail,Open English WordNet 2025 synset
nooky,roll in the hay,Open English WordNet 2025 synset
nooky,screw,Open English WordNet 2025 synset
nooky,screwing,Open English WordNet 2025 synset
nooky,shag,Open English WordNet 2025 synset
nooky,shtup,Open English WordNet 2025 synset
noon,high noon,Open English WordNet 2025 synset
noon,midday,Open English WordNet 2025 synset
noon,noonday,Open English WordNet 2025 synset
noon,noontide,Open English WordNet 2025 synset
noon,twelve noon,Open English WordNet 2025 synset
noonday,high noon,Open English WordNet 2025 synset
noonday,midday,Open English WordNet 2025 synset
noonday,noon,Open English WordNet 2025 synset
noonday,noontide,Open English WordNet 2025 synset
noonday,twelve noon,Open English WordNet 2025 synset
noontide,high noon,Open English WordNet 2025 synset
noontide,midday,Open English WordNet 2025 synset
noontide,noon,Open English WordNet 2025 synset
noontide,noonday,Open English WordNet 2025 synset
noontide,twelve noon,Open English WordNet 2025 synset
noose,gin,Open English WordNet 2025 synset
noose,running noose,Open English WordNet 2025 synset
noose,slip noose,Open English WordNet 2025 synset
noose,snare,Open English WordNet 2025 synset
norm,average,Open English WordNet 2025 synset
normal,convention,Open English WordNet 2025 synset
normal,formula,Open English WordNet 2025 synset
normal,pattern,Open English WordNet 2025 synset
normal,rule,Open English WordNet 2025 synset
normal school,teachers college,Open English WordNet 2025 synset
normalisation,normalization,Open English WordNet 2025 synset
normalisation,standardisation,Open English WordNet 2025 synset
normalisation,standardization,Open English WordNet 2025 synset
normalization,normalisation,Open English WordNet 2025 synset
normalization,standardisation,Open English WordNet 2025 synset
normalization,standardization,Open English WordNet 2025 synset
normalize,anneal,Open English WordNet 2025 synset
normalize,temper,Open English WordNet 2025 synset
normally,commonly,Open English WordNet 2025 synset
normally,ordinarily,Open English WordNet 2025 synset
normally,unremarkably,Open English WordNet 2025 synset
normally,usually,Open English WordNet 2025 synset
normative,prescriptive,Open English WordNet 2025 synset
norse,norwegian,Open English WordNet 2025 synset
norse,scandinavian,Open English WordNet 2025 synset
north,compass north,Open English WordNet 2025 synset
north,due north,Open English WordNet 2025 synset
north,magnetic north,Open English WordNet 2025 synset
north,n,Open English WordNet 2025 synset
north,northerly,Open English WordNet 2025 synset
north,northward,Open English WordNet 2025 synset
north,northwards,Open English WordNet 2025 synset
north wind,boreas,Open English WordNet 2025 synset
north wind,norther,Open English WordNet 2025 synset
north wind,northerly,Open English WordNet 2025 synset
norther,boreas,Open English WordNet 2025 synset
norther,north wind,Open English WordNet 2025 synset
norther,northerly,Open English WordNet 2025 synset
northerly,boreas,Open English WordNet 2025 synset
northerly,north,Open English WordNet 2025 synset
northerly,north wind,Open English WordNet 2025 synset
northerly,norther,Open English WordNet 2025 synset
northerly,northward,Open English WordNet 2025 synset
northerly,northwards,Open English WordNet 2025 synset
northern lights,aurora borealis,Open English WordNet 2025 synset
northernmost,northmost,Open English WordNet 2025 synset
northmost,northernmost,Open English WordNet 2025 synset
northward,due north,Open English WordNet 2025 synset
northward,n,Open English WordNet 2025 synset
northward,north,Open English WordNet 2025 synset
northward,northerly,Open English WordNet 2025 synset
northward,northwards,Open English WordNet 2025 synset
northwards,north,Open English WordNet 2025 synset
northwards,northerly,Open English WordNet 2025 synset
northwards,northward,Open English WordNet 2025 synset
norwegian,norse,Open English WordNet 2025 synset
nose,nozzle,Open English WordNet 2025 synset
nose,nuzzle,Open English WordNet 2025 synset
nose,scent,Open English WordNet 2025 synset
nose,wind,Open English WordNet 2025 synset
nose candy,blow,Open English WordNet 2025 synset
nose candy,c,Open English WordNet 2025 synset
nose candy,coke,Open English WordNet 2025 synset
nose candy,snow,Open English WordNet 2025 synset
nose count,census,Open English WordNet 2025 synset
nose count,nosecount,Open English WordNet 2025 synset
nose dive,dive,Open English WordNet 2025 synset
nose dive,nosedive,Open English WordNet 2025 synset
nose drops,big h,Open English WordNet 2025 synset
nose drops,hell dust,Open English WordNet 2025 synset
nose drops,scag,Open English WordNet 2025 synset
nose drops,skag,Open English WordNet 2025 synset
nose drops,smack,Open English WordNet 2025 synset
nose drops,thunder,Open English WordNet 2025 synset
nosecount,census,Open English WordNet 2025 synset
nosecount,nose count,Open English WordNet 2025 synset
nosedive,dive,Open English WordNet 2025 synset
nosedive,nose dive,Open English WordNet 2025 synset
nosegay,bouquet,Open English WordNet 2025 synset
nosegay,corsage,Open English WordNet 2025 synset
nosegay,posy,Open English WordNet 2025 synset
nosepiece,bridge,Open English WordNet 2025 synset
nosey-parker,busybody,Open English WordNet 2025 synset
nosey-parker,nosy-parker,Open English WordNet 2025 synset
nosey-parker,quidnunc,Open English WordNet 2025 synset
nostrum,catholicon,Open English WordNet 2025 synset
nostrum,cure-all,Open English WordNet 2025 synset
nostrum,panacea,Open English WordNet 2025 synset
nosy-parker,busybody,Open English WordNet 2025 synset
nosy-parker,nosey-parker,Open English WordNet 2025 synset
nosy-parker,quidnunc,Open English WordNet 2025 synset
not,non,Open English WordNet 2025 synset
not bad,bang-up,Open English WordNet 2025 synset
not bad,bully,Open English WordNet 2025 synset
not bad,corking,Open English WordNet 2025 synset
not bad,cracking,Open English WordNet 2025 synset
not bad,dandy,Open English WordNet 2025 synset
not bad,great,Open English WordNet 2025 synset
not bad,groovy,Open English WordNet 2025 synset
not bad,keen,Open English WordNet 2025 synset
not bad,neat,Open English WordNet 2025 synset
not bad,nifty,Open English WordNet 2025 synset
not bad,old,Open English WordNet 2025 synset
not bad,peachy,Open English WordNet 2025 synset
not bad,slap-up,Open English WordNet 2025 synset
not bad,smashing,Open English WordNet 2025 synset
not bad,swell,Open English WordNet 2025 synset
notable,celebrated,Open English WordNet 2025 synset
notable,famed,Open English WordNet 2025 synset
notable,famous,Open English WordNet 2025 synset
notable,far-famed,Open English WordNet 2025 synset
notable,illustrious,Open English WordNet 2025 synset
notable,noted,Open English WordNet 2025 synset
notable,noteworthy,Open English WordNet 2025 synset
notable,remarkable,Open English WordNet 2025 synset
notable,renowned,Open English WordNet 2025 synset
notably,remarkably,Open English WordNet 2025 synset
notably,unco,Open English WordNet 2025 synset
notably,unusually,Open English WordNet 2025 synset
notation,annotation,Open English WordNet 2025 synset
notation,notational system,Open English WordNet 2025 synset
notation,note,Open English WordNet 2025 synset
notational system,notation,Open English WordNet 2025 synset
notch,mountain pass,Open English WordNet 2025 synset
notch,nick,Open English WordNet 2025 synset
notch,pass,Open English WordNet 2025 synset
notch,snick,Open English WordNet 2025 synset
notched,erose,Open English WordNet 2025 synset
notched,jagged,Open English WordNet 2025 synset
notched,jaggy,Open English WordNet 2025 synset
notched,saw-toothed,Open English WordNet 2025 synset
notched,serrate,Open English WordNet 2025 synset
notched,serrated,Open English WordNet 2025 synset
notched,toothed,Open English WordNet 2025 synset
note,annotation,Open English WordNet 2025 synset
note,bank bill,Open English WordNet 2025 synset
note,bank note,Open English WordNet 2025 synset
note,banker's bill,Open English WordNet 2025 synset
note,banknote,Open English WordNet 2025 synset
note,bill,Open English WordNet 2025 synset
note,billet,Open English WordNet 2025 synset
note,distinction,Open English WordNet 2025 synset
note,eminence,Open English WordNet 2025 synset
note,federal reserve note,Open English WordNet 2025 synset
note,government note,Open English WordNet 2025 synset
note,greenback,Open English WordNet 2025 synset
note,line,Open English WordNet 2025 synset
note,mark,Open English WordNet 2025 synset
note,mention,Open English WordNet 2025 synset
note,musical note,Open English WordNet 2025 synset
note,notation,Open English WordNet 2025 synset
note,note of hand,Open English WordNet 2025 synset
note,notice,Open English WordNet 2025 synset
note,observe,Open English WordNet 2025 synset
note,preeminence,Open English WordNet 2025 synset
note,promissory note,Open English WordNet 2025 synset
note,remark,Open English WordNet 2025 synset
note,short letter,Open English WordNet 2025 synset
note,tone,Open English WordNet 2025 synset
note of hand,note,Open English WordNet 2025 synset
note of hand,promissory note,Open English WordNet 2025 synset
note value,time value,Open English WordNet 2025 synset
note value,value,Open English WordNet 2025 synset
notecase,billfold,Open English WordNet 2025 synset
notecase,pocketbook,Open English WordNet 2025 synset
notecase,wallet,Open English WordNet 2025 synset
noted,celebrated,Open English WordNet 2025 synset
noted,famed,Open English WordNet 2025 synset
noted,famous,Open English WordNet 2025 synset
noted,far-famed,Open English WordNet 2025 synset
noted,illustrious,Open English WordNet 2025 synset
noted,notable,Open English WordNet 2025 synset
noted,renowned,Open English WordNet 2025 synset
noteworthy,notable,Open English WordNet 2025 synset
noteworthy,remarkable,Open English WordNet 2025 synset
nothing,aught,Open English WordNet 2025 synset
nothing,cipher,Open English WordNet 2025 synset
nothing,cypher,Open English WordNet 2025 synset
nothing,goose egg,Open English WordNet 2025 synset
nothing,nada,Open English WordNet 2025 synset
nothing,naught,Open English WordNet 2025 synset
nothing,nil,Open English WordNet 2025 synset
nothing,nix,Open English WordNet 2025 synset
nothing,null,Open English WordNet 2025 synset
nothing,zero,Open English WordNet 2025 synset
nothing,zilch,Open English WordNet 2025 synset
nothing,zip,Open English WordNet 2025 synset
nothing,zippo,Open English WordNet 2025 synset
nothingness,idle words,Open English WordNet 2025 synset
nothingness,jazz,Open English WordNet 2025 synset
nothingness,malarkey,Open English WordNet 2025 synset
nothingness,malarky,Open English WordNet 2025 synset
nothingness,nihility,Open English WordNet 2025 synset
nothingness,nullity,Open English WordNet 2025 synset
nothingness,void,Open English WordNet 2025 synset
nothingness,wind,Open English WordNet 2025 synset
notice,acknowledge,Open English WordNet 2025 synset
notice,bill,Open English WordNet 2025 synset
notice,card,Open English WordNet 2025 synset
notice,comment,Open English WordNet 2025 synset
notice,detect,Open English WordNet 2025 synset
notice,discover,Open English WordNet 2025 synset
notice,find,Open English WordNet 2025 synset
notice,mark,Open English WordNet 2025 synset
notice,note,Open English WordNet 2025 synset
notice,notification,Open English WordNet 2025 synset
notice,observance,Open English WordNet 2025 synset
notice,observation,Open English WordNet 2025 synset
notice,observe,Open English WordNet 2025 synset
notice,placard,Open English WordNet 2025 synset
notice,point out,Open English WordNet 2025 synset
notice,poster,Open English WordNet 2025 synset
notice,posting,Open English WordNet 2025 synset
notice,remark,Open English WordNet 2025 synset
notification,apprisal,Open English WordNet 2025 synset
notification,notice,Open English WordNet 2025 synset
notification,presentment,Open English WordNet 2025 synset
notification,telling,Open English WordNet 2025 synset
notify,advise,Open English WordNet 2025 synset
notify,apprise,Open English WordNet 2025 synset
notify,apprize,Open English WordNet 2025 synset
notify,give notice,Open English WordNet 2025 synset
notify,send word,Open English WordNet 2025 synset
notion,belief,Open English WordNet 2025 synset
notion,feeling,Open English WordNet 2025 synset
notion,impression,Open English WordNet 2025 synset
notion,opinion,Open English WordNet 2025 synset
notion,whim,Open English WordNet 2025 synset
notion,whimsey,Open English WordNet 2025 synset
notion,whimsy,Open English WordNet 2025 synset
notional,conceptional,Open English WordNet 2025 synset
notional,fanciful,Open English WordNet 2025 synset
notional,ideational,Open English WordNet 2025 synset
notional,imaginary,Open English WordNet 2025 synset
notional,speculative,Open English WordNet 2025 synset
notorious,ill-famed,Open English WordNet 2025 synset
notorious,infamous,Open English WordNet 2025 synset
nought,cipher,Open English WordNet 2025 synset
nought,cypher,Open English WordNet 2025 synset
nought,zero,Open English WordNet 2025 synset
nourish,nurture,Open English WordNet 2025 synset
nourish,sustain,Open English WordNet 2025 synset
nourishing,alimental,Open English WordNet 2025 synset
nourishing,alimentary,Open English WordNet 2025 synset
nourishing,nutrient,Open English WordNet 2025 synset
nourishing,nutritious,Open English WordNet 2025 synset
nourishing,nutritive,Open English WordNet 2025 synset
nourishment,aliment,Open English WordNet 2025 synset
nourishment,alimentation,Open English WordNet 2025 synset
nourishment,nutriment,Open English WordNet 2025 synset
nourishment,nutrition,Open English WordNet 2025 synset
nourishment,sustenance,Open English WordNet 2025 synset
nourishment,victuals,Open English WordNet 2025 synset
nous,brain,Open English WordNet 2025 synset
nous,head,Open English WordNet 2025 synset
nous,mind,Open English WordNet 2025 synset
nous,psyche,Open English WordNet 2025 synset
nouveau-riche,arriviste,Open English WordNet 2025 synset
nouveau-riche,parvenu,Open English WordNet 2025 synset
nouveau-riche,upstart,Open English WordNet 2025 synset
nov,november,Open English WordNet 2025 synset
novel,fresh,Open English WordNet 2025 synset
novel,new,Open English WordNet 2025 synset
novelty,bangle,Open English WordNet 2025 synset
novelty,bauble,Open English WordNet 2025 synset
novelty,fallal,Open English WordNet 2025 synset
novelty,gaud,Open English WordNet 2025 synset
novelty,gewgaw,Open English WordNet 2025 synset
novelty,trinket,Open English WordNet 2025 synset
november,nov,Open English WordNet 2025 synset
novice,beginner,Open English WordNet 2025 synset
novice,initiate,Open English WordNet 2025 synset
novice,tiro,Open English WordNet 2025 synset
novice,tyro,Open English WordNet 2025 synset
now,at once,Open English WordNet 2025 synset
now,at present,Open English WordNet 2025 synset
now,directly,Open English WordNet 2025 synset
now,forthwith,Open English WordNet 2025 synset
now,immediately,Open English WordNet 2025 synset
now,instantly,Open English WordNet 2025 synset
now,like a shot,Open English WordNet 2025 synset
now,nowadays,Open English WordNet 2025 synset
now,right away,Open English WordNet 2025 synset
now,straight off,Open English WordNet 2025 synset
now,straightaway,Open English WordNet 2025 synset
now,today,Open English WordNet 2025 synset
nowadays,now,Open English WordNet 2025 synset
nowadays,present,Open English WordNet 2025 synset
nowadays,today,Open English WordNet 2025 synset
nozzle,beak,Open English WordNet 2025 synset
nozzle,honker,Open English WordNet 2025 synset
nozzle,hooter,Open English WordNet 2025 synset
nozzle,nose,Open English WordNet 2025 synset
nozzle,schnoz,Open English WordNet 2025 synset
nozzle,schnozzle,Open English WordNet 2025 synset
nozzle,snoot,Open English WordNet 2025 synset
nozzle,snout,Open English WordNet 2025 synset
np,neptunium,Open English WordNet 2025 synset
nuance,nicety,Open English WordNet 2025 synset
nuance,refinement,Open English WordNet 2025 synset
nuance,shade,Open English WordNet 2025 synset
nuance,subtlety,Open English WordNet 2025 synset
nub,center,Open English WordNet 2025 synset
nub,centre,Open English WordNet 2025 synset
nub,core,Open English WordNet 2025 synset
nub,essence,Open English WordNet 2025 synset
nub,gist,Open English WordNet 2025 synset
nub,heart,Open English WordNet 2025 synset
nub,heart and soul,Open English WordNet 2025 synset
nub,inwardness,Open English WordNet 2025 synset
nub,kernel,Open English WordNet 2025 synset
nub,marrow,Open English WordNet 2025 synset
nub,meat,Open English WordNet 2025 synset
nub,nitty-gritty,Open English WordNet 2025 synset
nub,pith,Open English WordNet 2025 synset
nub,stub,Open English WordNet 2025 synset
nub,substance,Open English WordNet 2025 synset
nub,sum,Open English WordNet 2025 synset
nucha,nape,Open English WordNet 2025 synset
nucha,scruff,Open English WordNet 2025 synset
nuclear,atomic,Open English WordNet 2025 synset
nuclear fission,fission,Open English WordNet 2025 synset
nuclear fusion,fusion,Open English WordNet 2025 synset
nuclear fusion,nuclear fusion reaction,Open English WordNet 2025 synset
nuclear fusion reaction,fusion,Open English WordNet 2025 synset
nuclear fusion reaction,nuclear fusion,Open English WordNet 2025 synset
nuclear reactor,reactor,Open English WordNet 2025 synset
nucleus,cell nucleus,Open English WordNet 2025 synset
nucleus,core,Open English WordNet 2025 synset
nucleus,core group,Open English WordNet 2025 synset
nucleus,karyon,Open English WordNet 2025 synset
nucleus,lens nucleus,Open English WordNet 2025 synset
nude,au naturel,Open English WordNet 2025 synset
nude,bare,Open English WordNet 2025 synset
nude,naked,Open English WordNet 2025 synset
nudge,jog,Open English WordNet 2025 synset
nuisance,annoyance,Open English WordNet 2025 synset
nuisance,bother,Open English WordNet 2025 synset
nuisance,botheration,Open English WordNet 2025 synset
nuisance,infliction,Open English WordNet 2025 synset
nuisance,pain,Open English WordNet 2025 synset
nuisance,pain in the ass,Open English WordNet 2025 synset
nuisance,pain in the neck,Open English WordNet 2025 synset
nuisance value,awkwardness,Open English WordNet 2025 synset
nuke,atomise,Open English WordNet 2025 synset
nuke,atomize,Open English WordNet 2025 synset
nuke,micro-cook,Open English WordNet 2025 synset
nuke,microwave,Open English WordNet 2025 synset
nuke,zap,Open English WordNet 2025 synset
null,aught,Open English WordNet 2025 synset
null,cipher,Open English WordNet 2025 synset
null,cypher,Open English WordNet 2025 synset
null,goose egg,Open English WordNet 2025 synset
null,nada,Open English WordNet 2025 synset
null,naught,Open English WordNet 2025 synset
null,nil,Open English WordNet 2025 synset
null,nix,Open English WordNet 2025 synset
null,nothing,Open English WordNet 2025 synset
null,zero,Open English WordNet 2025 synset
null,zilch,Open English WordNet 2025 synset
null,zip,Open English WordNet 2025 synset
null,zippo,Open English WordNet 2025 synset
nullify,annul,Open English WordNet 2025 synset
nullify,avoid,Open English WordNet 2025 synset
nullify,invalidate,Open English WordNet 2025 synset
nullify,negate,Open English WordNet 2025 synset
nullify,neutralise,Open English WordNet 2025 synset
nullify,neutralize,Open English WordNet 2025 synset
nullify,quash,Open English WordNet 2025 synset
nullify,void,Open English WordNet 2025 synset
nullity,nihility,Open English WordNet 2025 synset
nullity,nothingness,Open English WordNet 2025 synset
nullity,void,Open English WordNet 2025 synset
numb,asleep,Open English WordNet 2025 synset
numb,benumb,Open English WordNet 2025 synset
numb,benumbed,Open English WordNet 2025 synset
numb,blunt,Open English WordNet 2025 synset
numb,dull,Open English WordNet 2025 synset
number,act,Open English WordNet 2025 synset
number,add up,Open English WordNet 2025 synset
number,amount,Open English WordNet 2025 synset
number,bit,Open English WordNet 2025 synset
number,come,Open English WordNet 2025 synset
number,count,Open English WordNet 2025 synset
number,enumerate,Open English WordNet 2025 synset
number,figure,Open English WordNet 2025 synset
number,issue,Open English WordNet 2025 synset
number,numeral,Open English WordNet 2025 synset
number,numerate,Open English WordNet 2025 synset
number,phone number,Open English WordNet 2025 synset
number,routine,Open English WordNet 2025 synset
number,telephone number,Open English WordNet 2025 synset
number,total,Open English WordNet 2025 synset
number,turn,Open English WordNet 2025 synset
number one wood,driver,Open English WordNet 2025 synset
numbering,enumeration,Open English WordNet 2025 synset
numberless,countless,Open English WordNet 2025 synset
